,Timestamp,Source IP,Destination IP,Protocol,Payload
87,22:54:40,20.190.146.33,192.168.0.101,TCP,<no payload>
88,22:54:40,20.190.146.33,192.168.0.101,TCP,170303006251389eb5446dedb2939bcfc7c7de591f5fc9b59faaf8215d713fbbabfff2ff7ec5aa08c0113d644f017c1eea9af9575f26a5e6cf89b93adf2759b0924c002c8e27e94310b1f77aecb28ecec2d2d1b11afd36fecd59a1835d035305f3633dda
89,22:54:40,20.190.146.33,192.168.0.101,TCP,17030300396f2c80675629eaf6d54b16b908dbbb15fd92e14ddc86ed99263dcbe13de56fbf9c66de97ec03f4b3ed5e45b86fb83104d4518aac1c58ef659d
90,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
91,22:54:40,192.168.0.101,20.190.146.33,TCP,170303001a14246e3f75938b8a07344913199dc18b2bae626c44313bdcd717
92,22:54:40,20.190.146.33,192.168.0.101,TCP,170303001a6089b5c6bcee5d4e15f5d9ed8ce0ea1adf3e70f87242f3590f78
93,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
94,22:54:40,20.190.146.33,192.168.0.101,TCP,<no payload>
95,22:54:40,20.190.146.33,192.168.0.101,TCP,1703032203c1cb599af899c1eea6925ce7eb187a3717e97339d301b18b5b057f64c76cf072ebd9724bdb8f9f2db8dbc0c3999cb29d641088b3d8848e7c2259e287f4a6e5cf7a603724b479ffddb212681dd9e3b3a4c49096fd647b1ac60ae029259d82be
96,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
97,22:54:40,20.190.146.33,192.168.0.101,TCP,5e66861b25c9ab336b93b614110d2c57d39b7f3e1ac6ca7656b1a8f0c29929641e124a1f2a68d63be7f8e1d198a1c28c0ca6833b47ef454b38eb964600348749f1672720f15b4a6b6ce71ec09dad97b8bb206d945988552eeb28c37551c16cb8357ed221
98,22:54:40,20.190.146.33,192.168.0.101,TCP,e8b55982061702b3921c9b0079e49990d387732de0e9ee5de36755d0dfc89f08133d7317a6feda34874f46cdd3581bfb27223544b528e396322de35a9d9b206239a765a37129ff6c5bfae6ceeeb54ee0a7796522c16df55e59f2968f4843d2a56a6497e0
99,22:54:40,192.168.0.101,20.190.146.33,TCP,<no payload>
